node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1903,3431,1,1,1,1,1
img,472,10,960,90,8,0,1,1,2
img,482,501,620,413,11,0,2,1,3
img,501,884,24,24,13,0,3,1,4
img,482,2591,300,168,13,0,4,1,5
img,802,2591,300,168,13,0,5,1,6
img,1122,334,300,250,10,0,6,1,7
img,1122,596,300,600,10,0,7,1,8
img,1122,1208,300,90,10,0,8,1,9
img,1122,1310,300,90,10,0,9,1,10
img,1142,1513,260,178,13,0,10,1,11
img,1142,1981,160,106,13,0,12,1,12
img,1307,2038,95,64,13,0,13,1,13
img,1182,2092,120,79,13,0,14,1,14
img,1307,2107,95,64,13,0,15,1,15
img,1156,2176,95,64,13,0,16,1,16
img,1256,2176,137,94,13,0,17,1,17
div,0,0,1903,3431,2,1,1,1,18
div,0,0,1903,283,3,1,8,1,19
div,472,0,960,115,4,1,9,1,20
div,472,10,960,90,5,1,10,1,21
div,472,10,960,90,6,1,11,1,22
div,472,115,960,99,4,1,12,1,23
div,952,142,93,62,6,1,14,1,24
div,472,174,960,20,5,1,15,1,25
div,472,174,145,20,6,1,16,1,26
div,1274,174,148,20,6,1,17,1,27
div,472,115,960,18,5,1,18,1,28
div,472,214,960,69,4,1,19,1,29
div,472,214,960,38,5,1,20,1,30
div,472,214,960,38,6,1,21,1,31
div,472,252,960,31,5,1,22,1,32
div,482,252,620,31,6,1,23,1,33
div,0,283,1903,2771,3,1,24,1,34
div,472,283,960,2701,4,1,25,1,35
div,482,303,620,2681,5,1,26,1,36
div,482,303,620,39,6,1,27,1,37
div,482,372,620,2552,6,1,28,1,38
div,482,372,620,109,7,1,29,1,39
div,482,471,620,10,8,1,30,1,40
div,482,471,102,10,9,1,31,1,41
div,610,471,132,10,9,1,32,1,42
div,482,501,620,2423,7,1,33,1,43
div,482,501,620,453,8,1,34,1,44
div,482,501,620,413,9,1,35,1,45
div,482,501,620,413,10,1,36,1,46
div,482,914,620,40,9,1,37,1,47
div,802,963,300,144,8,1,38,1,48
div,482,1976,620,20,8,1,39,1,49
div,747,1976,102,22,11,1,41,1,50
div,482,2014,620,14,8,1,44,1,51
div,482,2056,620,868,8,1,45,1,52
div,482,2056,620,102,9,1,46,1,53
div,482,2178,620,30,9,1,47,1,54
div,482,2228,620,313,9,1,48,1,55
div,482,2291,620,17,12,1,49,1,56
div,482,2318,620,13,12,1,50,1,57
div,482,2347,620,17,12,1,51,1,58
div,482,2374,620,13,12,1,52,1,59
div,482,2403,620,17,12,1,53,1,60
div,482,2429,620,13,12,1,54,1,61
div,482,2458,620,17,12,1,55,1,62
div,482,2485,620,13,12,1,56,1,63
div,482,2591,620,333,9,1,57,1,64
div,482,2591,300,295,10,1,58,1,65
div,482,2591,300,169,11,1,59,1,66
div,802,2591,300,333,10,1,60,1,67
div,802,2591,300,169,11,1,61,1,68
div,1122,303,300,2669,5,1,62,1,69
div,1122,303,300,1099,6,1,63,1,70
div,1122,334,300,252,7,1,64,1,71
div,1122,334,300,252,8,1,65,1,72
div,1122,596,300,602,7,1,66,1,73
div,1122,596,300,602,8,1,67,1,74
div,1122,1208,300,92,7,1,68,1,75
div,1122,1208,300,92,8,1,69,1,76
div,1122,1310,300,92,7,1,70,1,77
div,1122,1310,300,92,8,1,71,1,78
div,1122,1432,300,466,6,1,72,1,79
div,1122,1432,300,68,7,1,73,1,80
div,1122,1513,300,374,7,1,74,1,81
div,1142,1513,260,178,10,1,75,1,82
div,1142,1513,260,178,11,1,76,1,83
div,1157,1666,60,50,10,1,77,1,84
div,1122,1928,300,379,6,1,81,1,85
div,1122,1928,300,53,7,1,82,1,86
div,1122,1981,300,289,7,1,83,1,87
div,1122,1981,300,289,8,1,84,1,88
div,1142,1981,160,106,11,1,85,1,89
div,1307,2038,95,64,11,1,86,1,90
div,1182,2092,120,79,11,1,87,1,91
div,1307,2107,95,64,11,1,88,1,92
div,1156,2176,95,64,11,1,89,1,93
div,1256,2176,137,94,11,1,90,1,94
div,1122,2290,300,17,7,1,91,1,95
div,1122,2337,300,431,6,1,92,1,96
div,1122,2337,300,57,7,1,93,1,97
div,1122,2394,300,41,7,1,94,1,98
div,1122,2394,300,20,8,1,95,1,99
div,1122,2419,300,16,8,1,96,1,100
div,1122,2455,300,128,7,1,98,1,101
div,1122,2455,300,20,8,1,99,1,102
div,1122,2475,300,108,8,1,100,1,103
div,1122,2475,300,106,9,1,101,1,104
div,1122,2588,300,180,7,1,102,1,105
div,1122,2588,300,20,8,1,103,1,106
div,1122,2613,300,155,8,1,104,1,107
div,1122,2798,300,144,6,1,105,1,108
div,1122,2798,300,40,7,1,106,1,109
div,1122,2838,300,104,7,1,107,1,110
div,1142,2858,260,64,8,1,108,1,111
div,1142,2858,260,22,10,1,109,1,112
div,1857,2998,26,36,4,1,111,1,113
div,0,3054,1903,377,3,1,112,1,114
div,482,3054,940,57,4,1,113,1,115
div,482,3054,940,57,5,1,114,1,116
div,482,3054,940,57,6,1,115,1,117
div,1382,3054,40,56,5,1,116,1,118
div,482,3110,940,1,5,1,117,1,119
div,482,3110,640,205,6,1,118,1,120
div,1122,3110,300,198,6,1,119,1,121
div,482,3111,940,221,4,1,120,1,122
div,484,3179,135,70,6,1,122,1,123
div,482,3295,156,20,5,1,123,1,124
div,622,3126,800,127,5,1,124,1,125
div,642,3126,300,127,6,1,125,1,126
div,962,3126,300,111,6,1,126,1,127
div,1282,3126,140,111,6,1,127,1,128
div,482,3332,940,99,4,1,128,1,129
div,482,3352,940,13,5,1,130,1,130
div,482,3380,940,51,5,1,131,1,131
div,302,265,160,600,4,1,133,1,132
div,1442,265,160,600,4,1,135,1,133
a,472,87,960,16,7,1,10,1,134
a,921,142,124,62,7,1,11,1,135
a,472,174,20,20,9,1,12,1,136
a,497,174,20,20,9,1,13,1,137
a,522,174,20,20,9,1,14,1,138
a,547,174,20,20,9,1,15,1,139
a,572,174,20,20,9,1,16,1,140
a,597,174,20,20,9,1,17,1,141
a,872,119,44,13,8,1,18,1,142
a,932,119,53,13,8,1,19,1,143
a,1001,119,45,13,8,1,20,1,144
a,1062,119,100,13,8,1,21,1,145
a,1178,119,46,13,8,1,22,1,146
a,1240,119,125,13,8,1,23,1,147
a,1381,119,43,13,8,1,24,1,148
a,511,223,105,23,9,1,25,1,149
a,646,223,77,23,9,1,26,1,150
a,754,223,49,23,9,1,27,1,151
a,833,223,97,23,9,1,28,1,152
a,961,223,87,35,9,1,29,1,153
a,1079,223,85,23,9,1,30,1,154
a,1195,223,68,23,9,1,31,1,155
a,1293,223,99,23,9,1,32,1,156
a,482,271,76,13,9,1,33,1,157
a,573,271,47,13,9,1,34,1,158
a,635,271,51,13,9,1,35,1,159
a,701,271,37,13,9,1,36,1,160
a,482,320,151,13,9,1,37,1,161
a,868,320,234,13,9,1,38,1,162
a,482,469,102,13,10,1,39,1,163
a,492,884,43,24,12,1,40,1,164
a,827,1020,228,16,12,1,41,1,165
